aX,aY,aZ,gX,gY,gZ
-0.094,-1.361,2.466,30.212,-15.686,17.517
-0.163,-1.333,2.339,39.856,2.747,11.597
-0.245,-1.289,2.216,45.837,17.212,7.141
-0.331,-1.250,2.099,48.279,30.884,5.676
-0.386,-1.231,1.975,46.875,43.152,4.639
-0.431,-1.198,1.888,41.870,53.772,4.700
-0.457,-1.216,1.755,37.048,66.162,3.906
-0.474,-1.195,1.736,32.043,80.933,0.671
-0.518,-1.248,1.598,26.306,82.031,6.165
-0.534,-1.257,1.520,23.682,92.957,12.634
-0.521,-1.210,1.459,24.170,108.215,18.738
-0.520,-1.164,1.362,22.034,121.887,25.696
-0.542,-1.121,1.230,18.616,135.559,32.532
-0.553,-1.044,1.091,18.066,149.353,36.438
-0.581,-0.985,0.964,19.775,160.645,38.635
-0.614,-0.954,0.807,21.973,169.800,39.001
-0.609,-0.922,0.663,23.560,179.687,36.804
-0.589,-0.893,0.537,24.780,188.232,35.339
-0.581,-0.903,0.422,23.865,194.641,36.133
-0.569,-0.866,0.298,21.545,201.355,36.011
-0.564,-0.789,0.191,21.484,209.900,32.959
-0.551,-0.731,0.073,22.278,218.933,28.564
-0.523,-0.669,-0.093,23.376,228.516,23.621
-0.526,-0.632,-0.216,20.752,236.145,21.606
-0.516,-0.649,-0.310,7.385,240.173,24.597
-0.490,-0.723,-0.393,-12.695,242.493,28.992
-0.518,-0.785,-0.428,-30.090,245.422,30.823
-0.556,-0.873,-0.503,-37.292,247.925,28.931
-0.573,-0.996,-0.646,-34.851,249.390,26.428
-0.638,-1.042,-0.758,-25.452,246.948,23.315
-0.729,-1.018,-0.877,-11.902,239.563,18.127
-0.771,-0.973,-1.015,3.906,229.370,13.123
-0.778,-0.901,-1.143,16.296,216.003,10.742
-0.774,-0.806,-1.237,20.569,202.087,8.850
-0.725,-0.713,-1.325,17.639,188.232,6.470
-0.624,-0.696,-1.430,10.254,174.500,3.906
-0.507,-0.688,-1.445,2.686,162.170,-1.526
-0.447,-0.669,-1.455,-0.793,147.705,-7.507
-0.438,-0.692,-1.446,-2.014,134.644,-11.169
-0.418,-0.707,-1.437,-4.456,125.122,-11.536
-0.405,-0.705,-1.413,-7.141,118.469,-9.521
-0.414,-0.726,-1.374,-9.888,112.122,-6.897
-0.395,-0.746,-1.336,-12.024,103.699,-5.615
-0.356,-0.742,-1.272,-14.099,92.834,-6.042
-0.321,-0.734,-1.195,-17.090,79.651,-7.446
-0.227,-0.782,-1.109,-20.691,67.078,-8.728
-0.156,-0.776,-0.984,-24.048,55.359,-12.939
-0.111,-0.824,-0.892,-25.513,40.833,-14.832
-0.075,-0.877,-0.782,-25.208,33.813,-20.386
-0.060,-0.921,-0.691,-22.461,28.137,-25.635
-0.047,-0.960,-0.608,-18.127,25.024,-29.236
-0.041,-0.977,-0.565,-13.123,22.034,-30.273
-0.055,-1.029,-0.059,-0.671,-0.427,1.404
-0.053,-1.025,-0.054,0.183,0.610,0.732
-0.051,-1.028,-0.064,0.305,2.197,0.183
-0.061,-1.028,-0.071,0.366,3.662,0.366
-0.071,-1.029,-0.082,0.732,4.517,0.916
-0.077,-1.023,-0.090,1.404,4.639,1.099
-0.083,-1.024,-0.104,2.136,3.723,0.366
-0.091,-1.022,-0.107,2.258,2.136,-0.305
-0.087,-1.010,-0.111,1.831,0.732,-0.549
-0.083,-1.007,-0.105,1.892,-0.122,-1.038
-0.080,-1.007,-0.101,1.648,-0.977,-1.160
-0.072,-1.019,-0.099,0.977,-1.465,-1.160
-0.073,-1.017,-0.089,-0.488,-1.648,-0.427
-0.068,-1.017,-0.083,-2.625,-1.526,0.793
-0.062,-1.017,-0.082,-3.357,-0.610,1.465
-0.069,-1.024,-0.084,-2.991,-0.183,2.075
-0.076,-1.021,-0.090,-2.930,0.183,2.441
-0.083,-1.021,-0.090,-2.930,0.061,1.892
-0.086,-1.029,-0.087,-2.625,-0.549,0.916
-0.084,-1.032,-0.086,-2.197,-1.343,0.000
-0.076,-1.033,-0.082,-1.404,-1.709,-0.488
-0.077,-1.037,-0.078,-0.793,-2.441,-0.610
-0.069,-1.039,-0.071,-0.244,-2.625,-0.671
-0.058,-1.046,-0.071,0.488,-2.563,-0.488
-0.053,-1.058,-0.081,1.343,-2.502,0.000
-0.047,-1.074,-0.088,2.014,-2.319,0.854
-0.033,-1.102,-0.111,2.930,-2.563,1.465
-0.015,-1.132,-0.147,4.517,-2.930,1.953
-0.003,-1.152,-0.189,7.751,-3.418,2.136
0.020,-1.163,-0.260,12.512,-4.639,0.977
0.057,-1.166,-0.353,18.860,-5.615,-1.526
0.065,-1.185,-0.465,23.437,-4.517,-3.479
0.057,-1.223,-0.589,22.095,0.610,-1.648
0.010,-1.261,-0.736,16.418,9.460,4.150
-0.084,-1.319,-0.922,9.888,19.409,13.489
-0.241,-1.373,-1.131,6.104,26.611,24.475
-0.412,-1.401,-1.367,8.484,28.503,32.227
-0.587,-1.403,-1.612,18.616,23.132,34.485
-0.753,-1.372,-1.829,36.499,8.423,30.090
-0.887,-1.307,-2.021,59.265,-12.695,19.897
-1.011,-1.224,-2.176,79.346,-38.696,6.836
-1.084,-1.136,-2.280,92.163,-67.200,-4.822
-1.113,-1.052,-2.358,97.473,-97.656,-12.878
-1.140,-0.985,-2.383,94.238,-127.686,-16.357
-1.212,-0.880,-2.346,84.778,-154.053,-14.099
-1.302,-0.790,-2.285,72.693,-177.368,-10.620
-1.405,-0.690,-2.190,58.228,-199.463,-6.592
