aX,aY,aZ,gX,gY,gZ
-0.018,-1.118,0.065,-18.860,6.531,34.119
-0.042,-1.134,0.063,-21.118,9.155,31.616
-0.076,-1.151,0.053,-16.418,10.254,21.912
-0.116,-1.135,0.043,-7.935,9.827,8.667
-0.139,-1.079,0.027,0.610,8.301,-3.357
-0.154,-1.016,0.018,6.714,5.371,-12.207
-0.164,-0.962,0.015,8.789,2.197,-18.616
-0.163,-0.930,0.010,5.615,-0.427,-21.667
-0.150,-0.943,0.027,1.343,-1.953,-19.592
-0.151,-0.981,0.042,-3.052,-2.747,-14.587
-0.139,-1.004,0.051,-7.751,-2.502,-8.423
-0.135,-1.044,0.062,-10.376,-0.732,-3.235
-0.147,-1.093,0.074,-10.254,1.404,-1.038
-0.158,-1.113,0.074,-8.484,3.845,0.427
-0.180,-1.119,0.074,-5.676,5.371,1.709
-0.193,-1.095,0.072,-2.991,6.042,1.099
-0.195,-1.074,0.067,-0.427,7.080,-1.831
-0.207,-1.055,0.052,1.709,8.118,-5.798
-0.232,-1.027,0.035,4.028,8.118,-7.690
-0.260,-1.007,0.023,5.981,7.568,-6.775
-0.270,-0.990,0.016,6.714,6.348,-6.104
-0.271,-0.977,0.016,6.409,4.883,-7.629
-0.266,-0.989,0.019,5.310,4.089,-9.827
-0.301,-0.937,-0.023,2.075,0.244,-1.770
-0.309,-0.949,-0.026,1.221,-0.122,-2.258
-0.306,-0.959,-0.022,-0.183,-0.244,-1.892
-0.308,-0.967,-0.018,-0.916,-0.488,-1.099
-0.303,-0.979,-0.013,-1.587,-0.793,-0.732
-0.290,-0.981,-0.011,-2.075,-0.854,-0.732
-0.290,-0.994,-0.007,-2.441,-0.549,0.183
-0.289,-1.002,-0.008,-2.563,-0.122,0.977
-0.289,-1.008,-0.009,-1.526,0.183,-0.061
-0.297,-1.011,-0.011,-0.244,0.122,-1.465
-0.297,-1.008,-0.011,1.526,0.122,-2.808
-0.290,-0.999,-0.017,2.686,0.244,-3.174
-0.301,-0.997,-0.015,3.418,0.366,-1.648
-0.309,-0.992,-0.019,2.869,0.366,-0.488
-0.307,-0.992,-0.024,2.502,0.366,0.183
-0.312,-1.000,-0.021,2.319,-0.061,0.671
-0.312,-1.004,-0.017,2.197,-0.305,0.549
-0.301,-1.003,-0.019,2.136,-0.244,0.671
-0.299,-0.993,-0.018,2.075,-0.183,1.038
-0.304,-0.988,-0.018,2.258,-0.061,0.854
-0.304,-0.987,-0.020,2.075,-0.122,0.244
-0.304,-0.980,-0.021,2.136,-0.244,-0.061
-0.305,-0.974,-0.021,2.197,-0.488,-0.427
-0.304,-0.975,-0.020,1.892,-0.610,-1.099
-0.298,-0.980,-0.022,1.526,-0.671,-0.793
-0.304,-0.979,-0.021,1.831,-0.854,0.916
-0.309,-0.965,-0.020,1.526,-1.221,1.465
